,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
0,1,Mariah Carey,All I Want For Christmas Is You,1,1,37,1/4/2020
1,2,Brenda Lee,Rockin' Around The Christmas Tree,2,2,32,1/4/2020
2,3,Bobby Helms,Jingle Bell Rock,9,3,30,1/4/2020
3,4,Burl Ives,A Holly Jolly Christmas,6,4,15,1/4/2020
4,5,Post Malone,Circles,3,1,17,1/4/2020
5,6,Arizona Zervas,Roxanne,4,4,8,1/4/2020
6,7,Andy Williams,It's The Most Wonderful Time Of The Year,15,7,15,1/4/2020
7,8,Lewis Capaldi,Someone You Loved,8,1,33,1/4/2020
8,9,Maroon 5,Memories,7,4,14,1/4/2020
9,10,Lizzo,Good As Hell,10,3,18,1/4/2020
10,11,Wham!,Last Christmas,17,11,14,1/4/2020
11,12,Jose Feliciano,Feliz Navidad,23,12,9,1/4/2020
12,13,Roddy Ricch,The Box,18,13,3,1/4/2020
13,14,Tones And I,Dance Monkey,11,9,12,1/4/2020
14,15,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",28,15,8,1/4/2020
15,16,Nat King Cole,The Christmas Song (Merry Christmas To You),30,11,21,1/4/2020
16,17,Dan + Shay & Justin Bieber,"10,000 Hours",13,4,12,1/4/2020
17,18,Selena Gomez,Lose You To Love Me,12,1,10,1/4/2020
18,19,Mustard & Roddy Ricch,Ballin',14,14,23,1/4/2020
19,20,DaBaby,BOP,16,11,13,1/4/2020
20,21,The Ronettes,Sleigh Ride,37,21,7,1/4/2020
21,22,Gene Autry,Rudolph The Red-Nosed Reindeer,36,16,8,1/4/2020
22,23,Billie Eilish,Bad Guy,25,1,39,1/4/2020
23,24,Andy Williams,Happy Holiday / The Holiday Season,40,24,4,1/4/2020
24,25,Chris Brown Featuring Drake,No Guidance,20,5,29,1/4/2020
25,26,Shawn Mendes & Camila Cabello,Senorita,21,1,27,1/4/2020
26,27,Juice WRLD & YoungBoy Never Broke Again,Bandit,19,10,12,1/4/2020
27,28,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,50,28,4,1/4/2020
28,29,Darlene Love,Christmas (Baby Please Come Home),0,29,3,1/4/2020
29,30,Lil Nas X,Panini,29,5,27,1/4/2020
30,31,Kelly Clarkson,Underneath The Tree,0,31,5,1/4/2020
31,32,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),47,28,6,1/4/2020
32,33,Young Thug Featuring Gunna,Hot,31,11,19,1/4/2020
33,34,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,41,1,43,1/4/2020
34,35,Lizzo,Truth Hurts,32,1,34,1/4/2020
35,36,Chuck Berry,Run Rudolph Run,0,36,5,1/4/2020
36,37,Perry Como,(There's No Place Like) Home For The Holidays,0,32,3,1/4/2020
37,38,Travis Scott,HIGHEST IN THE ROOM,27,1,12,1/4/2020
38,39,The Weeknd,Heartless,26,1,5,1/4/2020
39,40,Elvis Presley,Blue Christmas,0,40,2,1/4/2020
40,41,Billie Eilish,Everything I Wanted,34,8,7,1/4/2020
41,42,Bing Crosby,White Christmas,0,12,16,1/4/2020
42,43,Frank Sinatra,Jingle Bells,0,43,2,1/4/2020
43,44,Jonas Brothers,Like It's Christmas,53,44,4,1/4/2020
44,45,Dean Martin,Baby It's Cold Outside,0,45,1,1/4/2020
45,46,SHAED,Trampoline,33,13,30,1/4/2020
46,47,Lil Baby,Woah,35,16,7,1/4/2020
47,48,Lil Uzi Vert,Futsal Shuffle 2020,5,5,2,1/4/2020
48,49,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",0,49,1,1/4/2020
49,50,Lil Tecca,Ran$om,39,4,30,1/4/2020
50,51,Trevor Daniel,Falling,38,36,6,1/4/2020
51,52,Dua Lipa,Don't Start Now,42,30,8,1/4/2020
52,53,Harry Styles,Adore You,24,24,3,1/4/2020
53,54,Old Dominion,One Man Band,44,20,18,1/4/2020
54,55,blackbear,Hot Girl Bummer,51,41,15,1/4/2020
55,56,YNW Melly & Juice WRLD,Suicidal,58,56,5,1/4/2020
56,57,Taylor Swift,Lover,48,10,19,1/4/2020
57,58,Wale Featuring Jeremih,On Chill,46,22,20,1/4/2020
58,59,Luke Combs,Even Though I'm Leaving,49,11,17,1/4/2020
59,60,Don Toliver,No Idea,43,43,4,1/4/2020
60,61,Halsey,Graveyard,52,34,15,1/4/2020
61,62,Camila Cabello Featuring DaBaby,My Oh My,61,61,3,1/4/2020
62,63,Doja Cat & Tyga,Juicy,57,47,9,1/4/2020
63,64,Maren Morris,The Bones,55,48,14,1/4/2020
64,65,Summer Walker,Playing Games,56,16,17,1/4/2020
65,66,Chris Brown Featuring Gunna,Heat,59,36,17,1/4/2020
66,67,Idina Menzel & AURORA,Into The Unknown,65,46,5,1/4/2020
67,68,DaBaby,VIBEZ,60,21,13,1/4/2020
68,69,John Legend,Happy Xmas (War Is Over),0,69,1,1/4/2020
69,70,Rod Wave,Heart On Ice,70,54,7,1/4/2020
70,71,Lady Antebellum,What If I Never Get Over You,68,47,18,1/4/2020
71,72,The Weeknd,Blinding Lights,63,11,4,1/4/2020
72,73,Dustin Lynch,Ridin' Roads,66,66,8,1/4/2020
73,74,NLE Choppa,Camelot,71,37,15,1/4/2020
74,75,Jon Pardi,Heartache Medication,72,67,13,1/4/2020
75,76,Roddy Ricch & Gunna,Start Wit Me,69,58,6,1/4/2020
76,77,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,76,8,16,1/4/2020
77,78,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,77,60,12,1/4/2020
78,79,Ellie Goulding & Juice WRLD,Hate Me,75,56,20,1/4/2020
79,80,Sam Hunt,Kinfolks,81,62,11,1/4/2020
80,81,Juice WRLD,Let Me Know (I Wonder Why Freestyle),78,78,2,1/4/2020
81,82,Thomas Rhett,Remember You Young,73,53,15,1/4/2020
82,83,Trippie Redd Featuring DaBaby,Death,74,59,6,1/4/2020
83,84,YNW Melly & 9lokknine,223's,91,34,16,1/4/2020
84,85,H.E.R. Featuring YG,Slide,0,85,1,1/4/2020
85,86,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),89,86,5,1/4/2020
86,87,Harry Styles,Watermelon Sugar,54,54,5,1/4/2020
87,88,Kane Brown,Homesick,96,88,6,1/4/2020
88,89,Joji,Slow Dancing In The Dark,88,69,12,1/4/2020
89,90,DaniLeigh Featuring Chris Brown,Easy,97,88,8,1/4/2020
90,91,Bad Bunny,Vete,85,33,5,1/4/2020
91,92,DaBaby Featuring Offset,Baby Sitter,93,59,20,1/4/2020
92,93,Niall Horan,Nice To Meet Ya,82,63,11,1/4/2020
93,94,Ant Saunders,Yellow Hearts,95,81,7,1/4/2020
94,95,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,80,73,4,1/4/2020
95,96,Doja Cat,Candy,94,86,5,1/4/2020
96,97,Russ & BIA,BEST ON EARTH,92,92,3,1/4/2020
97,98,Karol G & Nicki Minaj,Tusa,0,78,4,1/4/2020
98,99,Post Malone Featuring DaBaby,Enemies,98,16,16,1/4/2020
99,100,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,0,53,3,1/4/2020
100,1,Post Malone,Circles,5,1,18,1/11/2020
101,2,Maroon 5,Memories,9,2,15,1/11/2020
102,3,Roddy Ricch,The Box,13,3,4,1/11/2020
103,4,Lewis Capaldi,Someone You Loved,8,1,34,1/11/2020
104,5,Arizona Zervas,Roxanne,6,4,9,1/11/2020
105,6,Lizzo,Good As Hell,10,3,19,1/11/2020
106,7,Tones And I,Dance Monkey,14,7,13,1/11/2020
107,8,Travis Scott,HIGHEST IN THE ROOM,38,1,13,1/11/2020
108,9,Dan + Shay & Justin Bieber,"10,000 Hours",17,4,13,1/11/2020
109,10,Selena Gomez,Lose You To Love Me,18,1,11,1/11/2020
110,11,Shawn Mendes & Camila Cabello,Senorita,26,1,28,1/11/2020
111,12,Mustard & Roddy Ricch,Ballin',19,12,24,1/11/2020
112,13,DaBaby,BOP,20,11,14,1/11/2020
113,14,Billie Eilish,Bad Guy,23,1,40,1/11/2020
114,15,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,34,1,44,1/11/2020
115,16,Chris Brown Featuring Drake,No Guidance,25,5,30,1/11/2020
116,17,Lil Nas X,Panini,30,5,28,1/11/2020
117,18,Lizzo,Truth Hurts,35,1,35,1/11/2020
118,19,SHAED,Trampoline,46,13,31,1/11/2020
119,20,The Weeknd,Heartless,39,1,6,1/11/2020
120,21,Dua Lipa,Don't Start Now,52,21,9,1/11/2020
121,22,Juice WRLD & YoungBoy Never Broke Again,Bandit,27,10,13,1/11/2020
122,23,Billie Eilish,Everything I Wanted,41,8,8,1/11/2020
123,24,Young Thug Featuring Gunna,Hot,33,11,20,1/11/2020
124,25,Jonas Brothers,Only Human,0,18,28,1/11/2020
125,26,Old Dominion,One Man Band,54,20,19,1/11/2020
126,27,Lil Baby,Woah,47,16,8,1/11/2020
127,28,Ed Sheeran & Justin Bieber,I Don't Care,0,2,31,1/11/2020
128,29,Jonas Brothers,Sucker,0,1,39,1/11/2020
129,30,Luke Combs,Even Though I'm Leaving,59,11,18,1/11/2020
130,31,Trevor Daniel,Falling,51,31,7,1/11/2020
131,32,blackbear,Hot Girl Bummer,55,32,16,1/11/2020
132,33,Lil Tecca,Ran$om,50,4,31,1/11/2020
133,34,Taylor Swift,Lover,57,10,20,1/11/2020
134,35,Harry Styles,Adore You,53,24,4,1/11/2020
135,36,Maren Morris,The Bones,64,36,15,1/11/2020
136,37,Halsey,Graveyard,61,34,16,1/11/2020
137,38,JACKBOYS Featuring Young Thug,Out West,0,38,1,1/11/2020
138,39,Wale Featuring Jeremih,On Chill,58,22,21,1/11/2020
139,40,Khalid,Talk,0,3,44,1/11/2020
140,41,YNW Melly & Juice WRLD,Suicidal,56,41,6,1/11/2020
141,42,Ed Sheeran Featuring Khalid,Beautiful People,0,13,25,1/11/2020
142,43,DaBaby,Suge,0,7,36,1/11/2020
143,44,Lil Uzi Vert,Futsal Shuffle 2020,48,5,3,1/11/2020
144,45,Doja Cat & Tyga,Juicy,63,45,10,1/11/2020
145,46,Don Toliver,No Idea,60,43,5,1/11/2020
146,47,Lil Baby & DaBaby,Baby,0,21,21,1/11/2020
147,48,JACKBOYS & Sheck Wes,GANG GANG,0,48,1,1/11/2020
148,49,Lady Antebellum,What If I Never Get Over You,71,47,19,1/11/2020
149,50,Camila Cabello Featuring DaBaby,My Oh My,62,50,4,1/11/2020
150,51,Dustin Lynch,Ridin' Roads,73,51,9,1/11/2020
151,52,Don Toliver Featuring Quavo & Offset,HAD ENOUGH,0,52,1,1/11/2020
152,53,Chris Brown Featuring Gunna,Heat,66,36,18,1/11/2020
153,54,Summer Walker,Playing Games,65,16,18,1/11/2020
154,55,Idina Menzel & AURORA,Into The Unknown,67,46,6,1/11/2020
155,56,JACKBOYS Featuring Don Toliver,WHAT TO DO?,0,56,1,1/11/2020
156,57,DaBaby,VIBEZ,68,21,14,1/11/2020
157,58,Jon Pardi,Heartache Medication,75,58,14,1/11/2020
158,59,The Weeknd,Blinding Lights,72,11,5,1/11/2020
159,60,Sam Hunt,Kinfolks,80,60,12,1/11/2020
160,61,Thomas Rhett,Remember You Young,82,53,16,1/11/2020
161,62,Rod Wave,Heart On Ice,70,54,8,1/11/2020
162,63,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,77,8,17,1/11/2020
163,64,Kane Brown,Homesick,88,64,7,1/11/2020
164,65,NLE Choppa,Camelot,74,37,16,1/11/2020
165,66,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),86,66,6,1/11/2020
166,67,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,78,60,13,1/11/2020
167,68,Roddy Ricch & Gunna,Start Wit Me,76,58,7,1/11/2020
168,69,"JACKBOYS, Pop Smoke & Travis Scott",GATTI,0,69,1,1/11/2020
169,70,Roddy Ricch Featuring Mustard,High Fashion,0,70,1,1/11/2020
170,71,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,0,28,5,1/11/2020
171,72,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,100,53,4,1/11/2020
172,73,H.E.R. Featuring YG,Slide,85,73,2,1/11/2020
173,74,Gabby Barrett Featuring Charlie Puth,I Hope,0,74,1,1/11/2020
174,75,Niall Horan,Nice To Meet Ya,93,63,12,1/11/2020
175,76,Karol G & Nicki Minaj,Tusa,98,76,5,1/11/2020
176,77,Jason Aldean,We Back,0,77,5,1/11/2020
177,78,YNW Melly & 9lokknine,223's,84,34,17,1/11/2020
178,79,DaniLeigh Featuring Chris Brown,Easy,90,79,9,1/11/2020
179,80,Joji,Slow Dancing In The Dark,89,69,13,1/11/2020
180,81,Russ & BIA,BEST ON EARTH,97,81,4,1/11/2020
181,82,Harry Styles,Watermelon Sugar,87,54,6,1/11/2020
182,83,Bad Bunny,Vete,91,33,6,1/11/2020
183,84,Jimmie Allen,Make Me Want To,0,84,1,1/11/2020
184,85,Post Malone Featuring DaBaby,Enemies,99,16,17,1/11/2020
185,86,Luke Bryan,What She Wants Tonight,0,86,2,1/11/2020
186,87,Kelsea Ballerini,homecoming queen?,0,82,4,1/11/2020
187,88,Ingrid Andress,More Hearts Than Mine,0,88,1,1/11/2020
188,89,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,95,73,5,1/11/2020
189,90,Riley Green,I Wish Grandpas Never Died,0,90,1,1/11/2020
190,91,Trippie Redd Featuring DaBaby,Death,83,59,7,1/11/2020
191,92,Ant Saunders,Yellow Hearts,94,81,8,1/11/2020
192,93,Tory Lanez & T-Pain,Jerry Sprunger,0,44,5,1/11/2020
193,94,Juice WRLD,Let Me Know (I Wonder Why Freestyle),81,78,3,1/11/2020
194,95,"DJ Snake, J. Balvin & Tyga",Loco Contigo,0,95,2,1/11/2020
195,96,Doja Cat,Candy,96,86,6,1/11/2020
196,97,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,78,4,1/11/2020
197,98,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,0,43,18,1/11/2020
198,99,Jordan Davis,Slow Dance In A Parking Lot,0,99,1,1/11/2020
199,100,Noah Cyrus & Leon Bridges,July,0,100,1,1/11/2020
200,1,Roddy Ricch,The Box,3,1,5,1/18/2020
201,2,Justin Bieber,Yummy,0,2,1,1/18/2020
202,3,Post Malone,Circles,1,1,19,1/18/2020
203,4,Maroon 5,Memories,2,2,16,1/18/2020
204,5,Dan + Shay & Justin Bieber,"10,000 Hours",9,4,14,1/18/2020
205,6,Lewis Capaldi,Someone You Loved,4,1,35,1/18/2020
206,7,Tones And I,Dance Monkey,7,7,14,1/18/2020
207,8,Lizzo,Good As Hell,6,3,20,1/18/2020
208,9,Arizona Zervas,Roxanne,5,4,10,1/18/2020
209,10,Selena Gomez,Lose You To Love Me,10,1,12,1/18/2020
210,11,Mustard & Roddy Ricch,Ballin',12,11,25,1/18/2020
211,12,DaBaby,BOP,13,11,15,1/18/2020
212,13,Travis Scott,HIGHEST IN THE ROOM,8,1,14,1/18/2020
213,14,Dua Lipa,Don't Start Now,21,14,10,1/18/2020
214,15,Chris Brown Featuring Drake,No Guidance,16,5,31,1/18/2020
215,16,SHAED,Trampoline,19,13,32,1/18/2020
216,17,The Weeknd,Heartless,20,1,7,1/18/2020
217,18,Shawn Mendes & Camila Cabello,Senorita,11,1,29,1/18/2020
218,19,Billie Eilish,Everything I Wanted,23,8,9,1/18/2020
219,20,Lizzo,Truth Hurts,18,1,36,1/18/2020
220,21,Young Thug Featuring Gunna,Hot,24,11,21,1/18/2020
221,22,Lil Baby,Woah,27,16,9,1/18/2020
222,23,Lil Nas X,Panini,17,5,29,1/18/2020
223,24,Harry Styles,Adore You,35,24,5,1/18/2020
224,25,Jonas Brothers,Only Human,25,18,29,1/18/2020
225,26,Maren Morris,The Bones,36,26,16,1/18/2020
226,27,Old Dominion,One Man Band,26,20,20,1/18/2020
227,28,Juice WRLD & YoungBoy Never Broke Again,Bandit,22,10,14,1/18/2020
228,29,blackbear,Hot Girl Bummer,32,29,17,1/18/2020
229,30,Lil Uzi Vert,Futsal Shuffle 2020,44,5,4,1/18/2020
230,31,Luke Combs,Even Though I'm Leaving,30,11,19,1/18/2020
231,32,Ed Sheeran & Justin Bieber,I Don't Care,28,2,32,1/18/2020
232,33,Billie Eilish,Bad Guy,14,1,41,1/18/2020
233,34,Jonas Brothers,Sucker,29,1,40,1/18/2020
234,35,Roddy Ricch Featuring Mustard,High Fashion,70,35,2,1/18/2020
235,36,Taylor Swift,Lover,34,10,21,1/18/2020
236,37,Wale Featuring Jeremih,On Chill,39,22,22,1/18/2020
237,38,Trevor Daniel,Falling,31,31,8,1/18/2020
238,39,The Weeknd,Blinding Lights,59,11,6,1/18/2020
239,40,Lady Antebellum,What If I Never Get Over You,49,40,20,1/18/2020
240,41,YNW Melly & Juice WRLD,Suicidal,41,41,7,1/18/2020
241,42,Khalid,Talk,40,3,45,1/18/2020
242,43,Halsey,Graveyard,37,34,17,1/18/2020
243,44,Camila Cabello Featuring DaBaby,My Oh My,50,44,5,1/18/2020
244,45,Ed Sheeran Featuring Khalid,Beautiful People,42,13,26,1/18/2020
245,46,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,15,1,45,1/18/2020
246,47,Dustin Lynch,Ridin' Roads,51,47,10,1/18/2020
247,48,Doja Cat & Tyga,Juicy,45,45,11,1/18/2020
248,49,Summer Walker,Playing Games,54,16,19,1/18/2020
249,50,DaBaby,Suge,43,7,37,1/18/2020
250,51,Jon Pardi,Heartache Medication,58,51,15,1/18/2020
251,52,JACKBOYS Featuring Young Thug,Out West,38,38,2,1/18/2020
252,53,DaBaby,VIBEZ,57,21,15,1/18/2020
253,54,Sam Hunt,Kinfolks,60,54,13,1/18/2020
254,55,Chris Brown Featuring Gunna,Heat,53,36,19,1/18/2020
255,56,Roddy Ricch & Gunna,Start Wit Me,68,56,8,1/18/2020
256,57,Idina Menzel & AURORA,Into The Unknown,55,46,7,1/18/2020
257,58,Don Toliver,No Idea,46,43,6,1/18/2020
258,59,Rod Wave,Heart On Ice,62,54,9,1/18/2020
259,60,MoneyBagg Yo Featuring Lil Baby,U Played,0,60,1,1/18/2020
260,61,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,72,53,5,1/18/2020
261,62,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,71,28,6,1/18/2020
262,63,Kane Brown,Homesick,64,63,8,1/18/2020
263,64,Thomas Rhett,Remember You Young,61,53,17,1/18/2020
264,65,Gabby Barrett Featuring Charlie Puth,I Hope,74,65,2,1/18/2020
265,66,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,63,8,18,1/18/2020
266,67,H.E.R. Featuring YG,Slide,73,67,3,1/18/2020
267,68,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),66,66,7,1/18/2020
268,69,Russ & BIA,BEST ON EARTH,81,69,5,1/18/2020
269,70,BrockHampton,SUGAR,0,70,1,1/18/2020
270,71,JACKBOYS & Sheck Wes,GANG GANG,48,48,2,1/18/2020
271,72,NLE Choppa,Camelot,65,37,17,1/18/2020
272,73,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,67,60,14,1/18/2020
273,74,Jason Aldean,We Back,77,74,6,1/18/2020
274,75,Luke Bryan,What She Wants Tonight,86,75,3,1/18/2020
275,76,Don Toliver Featuring Quavo & Offset,HAD ENOUGH,52,52,2,1/18/2020
276,77,Niall Horan,Nice To Meet Ya,75,63,13,1/18/2020
277,78,Jimmie Allen,Make Me Want To,84,78,2,1/18/2020
278,79,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,89,73,6,1/18/2020
279,80,DaniLeigh Featuring Chris Brown,Easy,79,79,10,1/18/2020
280,81,Harry Styles,Watermelon Sugar,82,54,7,1/18/2020
281,82,Ingrid Andress,More Hearts Than Mine,88,82,2,1/18/2020
282,83,Riley Green,I Wish Grandpas Never Died,90,83,2,1/18/2020
283,84,Kelsea Ballerini,homecoming queen?,87,82,5,1/18/2020
284,85,YNW Melly & 9lokknine,223's,78,34,18,1/18/2020
285,86,Roddy Ricch Featuring Meek Mill,Peta,0,72,3,1/18/2020
286,87,Karol G & Nicki Minaj,Tusa,76,76,6,1/18/2020
287,88,Tory Lanez & T-Pain,Jerry Sprunger,93,44,6,1/18/2020
288,89,Post Malone Featuring DaBaby,Enemies,85,16,18,1/18/2020
289,90,Olivia Rodrigo,All I Want,0,90,1,1/18/2020
290,91,Noah Cyrus & Leon Bridges,July,100,91,2,1/18/2020
291,92,Bad Bunny,Vete,83,33,7,1/18/2020
292,93,Carly Pearce & Lee Brice,I Hope You're Happy Now,0,93,1,1/18/2020
293,94,Lil Tjay,20/20,0,94,1,1/18/2020
294,95,Doja Cat Featuring Nicki Minaj,Say So,0,95,1,1/18/2020
295,96,YoungBoy Never Broke Again,Make No Sense,0,57,9,1/18/2020
296,97,Jordan Davis,Slow Dance In A Parking Lot,99,97,2,1/18/2020
297,98,Baby Keem,ORANGE SODA,0,98,1,1/18/2020
298,99,Moneybagg Yo X Megan Thee Stallion,All Dat,0,70,3,1/18/2020
299,100,JACKBOYS Featuring Don Toliver,WHAT TO DO?,56,56,2,1/18/2020
300,1,Roddy Ricch,The Box,1,1,6,1/25/2020
301,2,Future Featuring Drake,Life Is Good,0,2,1,1/25/2020
302,3,Post Malone,Circles,3,1,20,1/25/2020
303,4,Maroon 5,Memories,4,2,17,1/25/2020
304,5,Selena Gomez,Lose You To Love Me,10,1,13,1/25/2020
305,6,Lewis Capaldi,Someone You Loved,6,1,36,1/25/2020
306,7,Dan + Shay & Justin Bieber,"10,000 Hours",5,4,15,1/25/2020
307,8,Tones And I,Dance Monkey,7,7,15,1/25/2020
308,9,Arizona Zervas,Roxanne,9,4,11,1/25/2020
309,10,Justin Bieber,Yummy,2,2,2,1/25/2020
310,11,Lizzo,Good As Hell,8,3,21,1/25/2020
311,12,DaBaby,BOP,12,11,16,1/25/2020
312,13,Mustard & Roddy Ricch,Ballin',11,11,26,1/25/2020
313,14,Dua Lipa,Don't Start Now,14,14,11,1/25/2020
314,15,Travis Scott,HIGHEST IN THE ROOM,13,1,15,1/25/2020
315,16,Lil Baby,Sum 2 Prove,0,16,1,1/25/2020
316,17,Mac Miller,Good News,0,17,1,1/25/2020
317,18,The Weeknd,Heartless,17,1,8,1/25/2020
318,19,Chris Brown Featuring Drake,No Guidance,15,5,32,1/25/2020
319,20,SHAED,Trampoline,16,13,33,1/25/2020
320,21,Lil Baby,Woah,22,16,10,1/25/2020
321,22,Billie Eilish,Everything I Wanted,19,8,10,1/25/2020
322,23,Maren Morris,The Bones,26,23,17,1/25/2020
323,24,Shawn Mendes & Camila Cabello,Senorita,18,1,30,1/25/2020
324,25,blackbear,Hot Girl Bummer,29,25,18,1/25/2020
325,26,Harry Styles,Adore You,24,24,6,1/25/2020
326,27,Roddy Ricch Featuring Mustard,High Fashion,35,27,3,1/25/2020
327,28,Lil Nas X,Panini,23,5,30,1/25/2020
328,29,Halsey,You Should Be Sad,0,29,1,1/25/2020
329,30,Selena Gomez,Rare,0,30,1,1/25/2020
330,31,Young Thug Featuring Gunna,Hot,21,11,22,1/25/2020
331,32,The Weeknd,Blinding Lights,39,11,7,1/25/2020
332,33,Lizzo,Truth Hurts,20,1,37,1/25/2020
333,34,Jonas Brothers,Only Human,25,18,30,1/25/2020
334,35,Juice WRLD & YoungBoy Never Broke Again,Bandit,28,10,15,1/25/2020
335,36,Old Dominion,One Man Band,27,20,21,1/25/2020
336,37,Luke Combs,Even Though I'm Leaving,31,11,20,1/25/2020
337,38,Ed Sheeran & Justin Bieber,I Don't Care,32,2,33,1/25/2020
338,39,YNW Melly & Juice WRLD,Suicidal,41,39,8,1/25/2020
339,40,Billie Eilish,Bad Guy,33,1,42,1/25/2020
340,41,Trevor Daniel,Falling,38,31,9,1/25/2020
341,42,Jonas Brothers,Sucker,34,1,41,1/25/2020
342,43,Lil Uzi Vert,Futsal Shuffle 2020,30,5,5,1/25/2020
343,44,Camila Cabello Featuring DaBaby,My Oh My,44,44,6,1/25/2020
344,45,Doja Cat & Tyga,Juicy,48,45,12,1/25/2020
345,46,Wale Featuring Jeremih,On Chill,37,22,23,1/25/2020
346,47,Jon Pardi,Heartache Medication,51,47,16,1/25/2020
347,48,Khalid,Talk,42,3,46,1/25/2020
348,49,Lady Antebellum,What If I Never Get Over You,40,40,21,1/25/2020
349,50,Taylor Swift,Lover,36,10,22,1/25/2020
350,51,Sam Hunt,Kinfolks,54,51,14,1/25/2020
351,52,Dustin Lynch,Ridin' Roads,47,47,11,1/25/2020
352,53,MoneyBagg Yo Featuring Lil Baby,U Played,60,53,2,1/25/2020
353,54,Summer Walker,Playing Games,49,16,20,1/25/2020
354,55,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,62,28,7,1/25/2020
355,56,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,61,53,6,1/25/2020
356,57,DaBaby,VIBEZ,53,21,16,1/25/2020
357,58,Halsey,Graveyard,43,34,18,1/25/2020
358,59,Chris Brown Featuring Gunna,Heat,55,36,20,1/25/2020
359,60,Kane Brown,Homesick,63,60,9,1/25/2020
360,61,Rod Wave,Heart On Ice,59,54,10,1/25/2020
361,62,Roddy Ricch & Gunna,Start Wit Me,56,56,9,1/25/2020
362,63,Don Toliver,No Idea,58,43,7,1/25/2020
363,64,Gabby Barrett Featuring Charlie Puth,I Hope,65,64,3,1/25/2020
364,65,JACKBOYS Featuring Young Thug,Out West,52,38,3,1/25/2020
365,66,BrockHampton,SUGAR,70,66,2,1/25/2020
366,67,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),68,66,8,1/25/2020
367,68,Russ & BIA,BEST ON EARTH,69,68,6,1/25/2020
368,69,Karol G & Nicki Minaj,Tusa,87,69,7,1/25/2020
369,70,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,66,8,19,1/25/2020
370,71,H.E.R. Featuring YG,Slide,67,67,4,1/25/2020
371,72,Jason Aldean,We Back,74,72,7,1/25/2020
372,73,Luke Bryan,What She Wants Tonight,75,73,4,1/25/2020
373,74,Jimmie Allen,Make Me Want To,78,74,3,1/25/2020
374,75,Riley Green,I Wish Grandpas Never Died,83,75,3,1/25/2020
375,76,Ingrid Andress,More Hearts Than Mine,82,76,3,1/25/2020
376,77,Doja Cat Featuring Nicki Minaj,Say So,95,77,2,1/25/2020
377,78,NLE Choppa,Camelot,72,37,18,1/25/2020
378,79,YoungBoy Never Broke Again,Make No Sense,96,57,10,1/25/2020
379,80,Thomas Rhett,Remember You Young,64,53,18,1/25/2020
380,81,DaniLeigh Featuring Chris Brown,Easy,80,79,11,1/25/2020
381,82,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,79,73,7,1/25/2020
382,83,Khalid,Eleven,0,83,1,1/25/2020
383,84,Moneybagg Yo X Megan Thee Stallion,All Dat,99,70,4,1/25/2020
384,85,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,73,60,15,1/25/2020
385,86,John Legend,Conversations In The Dark,0,86,1,1/25/2020
386,87,Carly Pearce & Lee Brice,I Hope You're Happy Now,93,87,2,1/25/2020
387,88,Tory Lanez & T-Pain,Jerry Sprunger,88,44,7,1/25/2020
388,89,Moneybagg Yo Featuring DaBaby,Protect da Brand,0,89,1,1/25/2020
389,90,Idina Menzel & AURORA,Into The Unknown,57,46,8,1/25/2020
390,91,Bad Bunny,Vete,92,33,8,1/25/2020
391,92,Selena Gomez,Look At Her Now.,0,27,4,1/25/2020
